# Pure pigments absorption data
Wavelength (nm);TRIO;Pheo-a;Pheo-b;b-CAR;LUT;NEX;Chl-a;Chl-b
Molecular weight ;885.500;871.200;885.200;536.900;568.900;600.880;893.509;907.492
645;3.8782E-03;6.1857E+03;1.2464E+04;6.7935E+00;0.0000E+00;0.0000E+00;1.3656E+04;4.2512E+04
644;3.4807E-03;5.9794E+03;1.0999E+04;5.2838E+00;0.0000E+00;0.0000E+00;1.2792E+04;4.0770E+04
643;3.2868E-03;5.8203E+03;9.7063E+03;2.2645E+00;0.0000E+00;0.0000E+00;1.2124E+04;3.8420E+04
642;3.1511E-03;5.7027E+03;8.5885E+03;1.5097E+00;0.0000E+00;0.0000E+00;1.1646E+04;3.5686E+04
641;2.8311E-03;5.6083E+03;7.6316E+03;1.5097E+00;0.0000E+00;0.0000E+00;1.1296E+04;3.2712E+04
640;2.7341E-03;5.5311E+03;6.8160E+03;1.5097E+00;0.0000E+00;0.0000E+00;1.1106E+04;2.9651E+04
639;2.5693E-03;5.4521E+03;6.1203E+03;7.5483E+00;0.0000E+00;0.0000E+00;1.1017E+04;2.6676E+04
638;2.3075E-03;5.3663E+03;5.5283E+03;9.8128E+00;0.0000E+00;0.0000E+00;1.1040E+04;2.3898E+04
637;2.2203E-03;5.2911E+03;5.0508E+03;1.5851E+01;0.0000E+00;0.0000E+00;1.1173E+04;2.1318E+04
636;2.1136E-03;5.2352E+03;4.6555E+03;1.8871E+01;0.0000E+00;0.0000E+00;1.1329E+04;1.8984E+04
635;2.0264E-03;5.1870E+03;4.3515E+03;2.1135E+01;1.2165E+01;0.0000E+00;1.1560E+04;1.6966E+04
634;2.1718E-03;5.1494E+03;4.1154E+03;2.1890E+01;2.4331E+01;0.0000E+00;1.1828E+04;1.5227E+04
633;2.0555E-03;5.1378E+03;3.9562E+03;1.9626E+01;3.1630E+01;0.0000E+00;1.2146E+04;1.3708E+04
632;2.0361E-03;5.1552E+03;3.8364E+03;2.6419E+01;2.6764E+01;0.0000E+00;1.2521E+04;1.2433E+04
631;2.2009E-03;5.1986E+03;3.7559E+03;3.0193E+01;2.1898E+01;0.0000E+00;1.2875E+04;1.1326E+04
630;2.1427E-03;5.2747E+03;3.7058E+03;3.0948E+01;1.4599E+01;0.0000E+00;1.3232E+04;1.0379E+04
629;2.0264E-03;5.3962E+03;3.6557E+03;2.7929E+01;2.4331E+01;0.0000E+00;1.3604E+04;9.6038E+03
628;2.0361E-03;5.5495E+03;3.6414E+03;2.6419E+01;3.4063E+01;0.0000E+00;1.3980E+04;8.9887E+03
627;1.9100E-03;5.7422E+03;3.6218E+03;2.7929E+01;6.5693E+01;0.0000E+00;1.4316E+04;8.4594E+03
626;2.0652E-03;5.9611E+03;3.6110E+03;3.0193E+01;1.1922E+02;0.0000E+00;1.4609E+04;7.9957E+03
625;2.0361E-03;6.2165E+03;3.6039E+03;3.4722E+01;1.8491E+02;0.0000E+00;1.4874E+04;7.6651E+03
624;2.1136E-03;6.4768E+03;3.5967E+03;3.4722E+01;2.1168E+02;0.0000E+00;1.5060E+04;7.3971E+03
623;2.2009E-03;6.7592E+03;3.6200E+03;3.6987E+01;2.4818E+02;0.0000E+00;1.5244E+04;7.2216E+03
622;2.1718E-03;7.0677E+03;3.6468E+03;3.1703E+01;2.4331E+02;0.0000E+00;1.5376E+04;7.0674E+03
621;2.2688E-03;7.3896E+03;3.7004E+03;3.3967E+01;2.5061E+02;0.0000E+00;1.5489E+04;6.9825E+03
620;2.3269E-03;7.7193E+03;3.8060E+03;3.3213E+01;2.4574E+02;0.0000E+00;1.5524E+04;6.9151E+03
619;2.3172E-03;8.0740E+03;3.9365E+03;3.6987E+01;2.6764E+02;0.0000E+00;1.5540E+04;6.8881E+03
618;2.2591E-03;8.4239E+03;4.1047E+03;3.9251E+01;2.6277E+02;0.0000E+00;1.5535E+04;6.9208E+03
617;2.3172E-03;8.7469E+03;4.3425E+03;4.3780E+01;2.7981E+02;0.0000E+00;1.5480E+04;6.9112E+03
616;2.3560E-03;9.0187E+03;4.5786E+03;4.6045E+01;2.9440E+02;0.0000E+00;1.5386E+04;6.9102E+03
615;2.6178E-03;9.2327E+03;4.8666E+03;4.8309E+01;3.0414E+02;0.0000E+00;1.5239E+04;6.9073E+03
614;2.6275E-03;9.3937E+03;5.1992E+03;5.0574E+01;3.3820E+02;0.0000E+00;1.5022E+04;6.9536E+03
613;2.5693E-03;9.4833E+03;5.5444E+03;5.5857E+01;3.2117E+02;0.0000E+00;1.4791E+04;6.9816E+03
612;2.7535E-03;9.5267E+03;5.9218E+03;5.8122E+01;3.2360E+02;0.0000E+00;1.4497E+04;7.0105E+03
611;2.8214E-03;9.5103E+03;6.3153E+03;6.3406E+01;2.9684E+02;0.0000E+00;1.4149E+04;7.0828E+03
610;2.7438E-03;9.4245E+03;6.7374E+03;7.0199E+01;2.8710E+02;0.0000E+00;1.3749E+04;7.1946E+03
609;2.8796E-03;9.2674E+03;7.1505E+03;7.5483E+01;2.5304E+02;0.0000E+00;1.3331E+04;7.3093E+03
608;2.9571E-03;9.0274E+03;7.5726E+03;7.8502E+01;2.3601E+02;0.0000E+00;1.2892E+04;7.4944E+03
607;3.0250E-03;8.7131E+03;7.9804E+03;8.0767E+01;2.0438E+02;0.0000E+00;1.2413E+04;7.6728E+03
